director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tags,movie_title_lower
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Pirates Of The Caribbean: At World's End,Action Adventure Fantasy pirates of the caribbean: at world's end Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski,pirates of the caribbean: at world's end
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,Spectre,Action Adventure Thriller spectre Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes,spectre
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,The Dark Knight Rises,Action Thriller the dark knight rises Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan,the dark knight rises
Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,Star Wars: Episode Vii - The Force Awakens ,Documentary star wars: episode vii - the force awakens             Doug Walker Rob Walker unknown Doug Walker,star wars: episode vii - the force awakens 
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,John Carter,Action Adventure Sci-Fi john carter Daryl Sabara Samantha Morton Polly Walker Andrew Stanton,john carter
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,Tangled,Adventure Animation Comedy Family Fantasy Musical Romance tangled Brad Garrett Donna Murphy M.C. Gainey Nathan Greno,tangled
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,Avengers: Age Of Ultron,Action Adventure Sci-Fi avengers: age of ultron Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon,avengers: age of ultron
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,Harry Potter And The Half-Blood Prince,Adventure Family Fantasy Mystery harry potter and the half-blood prince Alan Rickman Daniel Radcliffe Rupert Grint David Yates,harry potter and the half-blood prince
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,Batman V Superman: Dawn Of Justice,Action Adventure Sci-Fi batman v superman: dawn of justice Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder,batman v superman: dawn of justice
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,Superman Returns,Action Adventure Sci-Fi superman returns Kevin Spacey Marlon Brando Frank Langella Bryan Singer,superman returns
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,Quantum Of Solace,Action Adventure quantum of solace Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster,quantum of solace
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Pirates Of The Caribbean: Dead Man's Chest,Action Adventure Fantasy pirates of the caribbean: dead man's chest Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski,pirates of the caribbean: dead man's chest
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,The Lone Ranger,Action Adventure Western the lone ranger Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski,the lone ranger
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,Man Of Steel,Action Adventure Fantasy Sci-Fi man of steel Henry Cavill Christopher Meloni Harry Lennix Zack Snyder,man of steel
